customerid,count,country,state,city,zip_code,lat_long,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,churn_reason,churn_probability,predicted_churn,risk_category,cluster,segment_name,pca_1,pca_2,strategic_group
8938-UMKPI,1,United States,California,Corona,92882,"33.819385, -117.600213",33.819385,-117.600213,Female,No,No,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.4,5127.95,Yes,1,99,4804,Attitude of support person,0.547771703748602,1,Medium,0,Established High-Value,-2.891350027931556,1.041408105343662,Standard
4501-EQDRN,1,United States,California,Montclair,91763,"34.072121, -117.698319",34.072121,-117.698319,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.7,69.7,Yes,1,98,4620,Attitude of service provider,0.5474777814243879,1,Medium,2,New High-Risk,-1.0478918758669826,-3.588905022059305,Standard
1565-RHDJD,1,United States,California,Palo Cedro,96073,"40.582399, -122.195512",40.582399,-122.195512,Female,No,No,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),84.05,333.55,Yes,1,95,5552,Competitor offered higher download speeds,0.5474008331490526,1,Medium,2,New High-Risk,-1.5554971069403225,-1.1872208002260272,Standard
9048-JVYVF,1,United States,California,Panorama City,91402,"34.223768, -118.445461",34.223768,-118.445461,Male,No,No,No,3,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,69.35,191.35,Yes,1,98,3520,Price too high,0.5471076966025741,1,Medium,2,New High-Risk,-1.611370104044361,-2.0322041470229824,Standard
8276-MQBYC,1,United States,California,Los Angeles,90028,"34.099869, -118.326843",34.099869,-118.326843,Male,Yes,No,No,51,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.8,4913.3,Yes,1,81,6204,Long distance charges,0.5469268683474289,1,Medium,0,Established High-Value,-3.2774887980578717,0.3706335481650541,Standard
3269-ATYWD,1,United States,California,San Francisco,94123,"37.800254, -122.436975",37.800254,-122.436975,Male,Yes,No,No,39,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.65,3759.05,Yes,1,65,4892,Don't know,0.5461095101992628,1,Medium,2,New High-Risk,-2.976766135639805,-0.4821223336632388,Standard
0817-HSUSE,1,United States,California,Altadena,91001,"34.196837, -118.142236",34.196837,-118.142236,Male,No,No,No,1,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.5,75.5,No,0,43,2954,Attitude of support person,0.5458743051386596,1,Medium,2,New High-Risk,-1.6284352230414323,-1.2834478410096375,Standard
6599-SFQVE,1,United States,California,Santa Clara,95051,"37.348129, -121.98469",37.348129,-121.98469,Female,No,No,No,6,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.0,340.4,No,0,21,2629,Attitude of support person,0.545496035898156,1,Medium,2,New High-Risk,-1.563245108512935,-3.654557978582016,Standard
4373-VVHQL,1,United States,California,Arroyo Grande,93420,"35.176236, -120.483243",35.176236,-120.483243,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.75,44.75,No,0,59,5479,Attitude of support person,0.5453656094357668,1,Medium,2,New High-Risk,-1.4099157010296677,-4.191636906664273,Standard
8705-WZCYL,1,United States,California,Encinitas,92024,"33.054579, -117.25665",33.054579,-117.25665,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.8,44.8,No,0,31,2269,Attitude of support person,0.5451627670078357,1,Medium,2,New High-Risk,-1.3891002394247802,-4.602680755459946,Standard
7562-UXTPG,1,United States,California,Canoga Park,91303,"34.19829, -118.602203",34.19829,-118.602203,Female,No,No,No,13,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.15,886.7,No,0,56,2992,Attitude of support person,0.5449921376290953,1,Medium,2,New High-Risk,-1.3209554571121127,-3.990097116427917,Standard
5226-NOZFC,1,United States,California,Modesto,95358,"37.612612, -121.108568",37.612612,-121.108568,Male,No,No,No,26,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.75,2146.5,No,0,64,3178,Attitude of support person,0.544946488288369,1,Medium,2,New High-Risk,-2.069826379430736,-2.1354563188498568,Standard
5590-YRFJT,1,United States,California,Lompoc,93437,"34.757477, -120.550507",34.757477,-120.550507,Female,No,Yes,No,20,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.45,482.8,Yes,1,94,3298,Don't know,0.544873039672154,1,Medium,3,Mid-Tenure Moderate-Risk,-1.948544664777984,-3.6066687960676433,Standard
2519-FAKOD,1,United States,California,Tehachapi,93561,"35.073777, -118.652112",35.073777,-118.652112,Male,No,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.25,3777.15,Yes,1,76,5274,Competitor offered more data,0.5448276804241236,1,Medium,0,Established High-Value,-2.557579630739057,0.5239029879368838,Standard
4855-SNKMY,1,United States,California,Los Angeles,90024,"34.066303, -118.435479",34.066303,-118.435479,Female,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.1,44.1,Yes,1,70,5955,Competitor made better offer,0.5446975348645622,1,Medium,2,New High-Risk,-1.4077977167376534,-4.1336797499043145,Standard
6212-ATMLK,1,United States,California,Rancho Cucamonga,91701,"34.132275, -117.611478",34.132275,-117.611478,Female,No,No,No,50,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.7,4729.75,No,0,44,4164,Attitude of support person,0.5444972754104328,1,Medium,2,New High-Risk,-2.826483360973125,-0.6626667148399423,Standard
5204-QZXPU,1,United States,California,Glendale,91205,"34.13658, -118.245839",34.13658,-118.245839,Male,No,No,No,19,No,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,39.65,733.35,Yes,1,78,2933,Competitor had better devices,0.5439389456128395,1,Medium,3,Mid-Tenure Moderate-Risk,-2.1275165027886205,-2.810439109621934,Standard
4248-QPAVC,1,United States,California,Portola,96122,"39.786755, -120.445626",39.786755,-120.445626,Female,Yes,Yes,No,17,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.35,1463.45,Yes,1,70,3209,Competitor made better offer,0.5434661404231248,1,Medium,2,New High-Risk,-2.4405445374981096,-0.5217340625813657,Standard
6331-LWDTQ,1,United States,California,Rialto,92377,"34.156758, -117.404686",34.156758,-117.404686,Male,No,No,No,10,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),72.15,794.25,Yes,1,98,2457,Limited range of services,0.5433184511483508,1,Medium,2,New High-Risk,-1.981728231700556,-1.6617154133631948,Standard
3754-DXMRT,1,United States,California,San Pablo,94806,"37.980269, -122.342635",37.980269,-122.342635,Male,Yes,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.15,92.65,Yes,1,86,5655,Competitor offered higher download speeds,0.5430305454856676,1,Medium,2,New High-Risk,-1.8399792088984857,-4.265952115008193,Standard
9274-UARKJ,1,United States,California,Modesto,95351,"37.621458, -121.012295",37.621458,-121.012295,Female,No,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),83.2,1130.0,No,0,36,4096,Attitude of support person,0.5424619996717944,1,Medium,2,New High-Risk,-1.76848523481378,-1.833788342138156,Standard
1101-SSWAG,1,United States,California,Berkeley,94702,"37.866009, -122.286228",37.866009,-122.286228,Female,No,Yes,No,15,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,51.1,711.15,No,0,33,4858,Attitude of support person,0.5422652998248065,1,Medium,2,New High-Risk,-1.9183744379922227,-2.54981623667284,Standard
2082-CEFLT,1,United States,California,San Diego,92109,"32.787836, -117.232376",32.787836,-117.232376,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.6,45.6,Yes,1,88,3037,Service dissatisfaction,0.5419152947122866,1,Medium,2,New High-Risk,-1.4006568984013674,-4.500552935824984,Standard
2135-RXIHG,1,United States,California,Carson,90745,"33.822295, -118.26411",33.822295,-118.26411,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,1,73,2600,Poor expertise of online support,0.5417122064882448,1,Medium,2,New High-Risk,-1.3981729863634635,-4.556309915237327,Standard
3348-CFRNX,1,United States,California,Healdsburg,95448,"38.618347, -122.908422",38.618347,-122.908422,Female,No,Yes,No,28,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,92.35,2602.9,Yes,1,71,2990,Lack of affordable download/upload speed,0.5416069183127247,1,Medium,2,New High-Risk,-1.6004632428356038,-0.4557776056470794,Standard
4902-OHLSK,1,United States,California,Half Moon Bay,94019,"37.45567, -122.407992",37.45567,-122.407992,Female,Yes,No,No,29,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,98.65,2862.75,Yes,1,93,4235,Competitor offered higher download speeds,0.5410602896896377,1,Medium,2,New High-Risk,-2.5282902507445093,-0.5004457549006875,Standard
8837-VVWLQ,1,United States,California,Capistrano Beach,92624,"33.458754, -117.665104",33.458754,-117.665104,Female,No,No,No,8,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,84.95,668.4,Yes,1,81,4437,Moved,0.5409549269794426,1,Medium,2,New High-Risk,-1.35511624793023,-2.43934684263801,Standard
7503-QQRVF,1,United States,California,San Jose,95127,"37.375156, -121.795867",37.375156,-121.795867,Male,Yes,Yes,No,16,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.3,1178.25,Yes,1,81,2076,Competitor had better devices,0.5409403873642131,1,Medium,2,New High-Risk,-2.0457177264375863,-2.1359732493773054,Standard
4816-JBHOV,1,United States,California,Los Angeles,90044,"33.952714, -118.292061",33.952714,-118.292061,Male,Yes,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.7,93.7,Yes,1,98,4618,Competitor offered more data,0.5408242752661164,1,Medium,2,New High-Risk,-1.837606221677641,-4.396181449243275,Standard
3914-FDRHP,1,United States,California,Warner Springs,92086,"33.323705, -116.626907",33.323705,-116.626907,Male,No,No,No,9,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,86.25,770.5,No,0,42,4754,Attitude of support person,0.5405124004202294,1,Medium,2,New High-Risk,-1.3864079102494116,-2.2729354218656392,Standard
8685-WHQPW,1,United States,California,San Diego,92110,"32.76501, -117.19938",32.76501,-117.19938,Female,Yes,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.4,1692.6,Yes,1,81,2407,Attitude of service provider,0.5404796258834554,1,Medium,2,New High-Risk,-2.52602244976907,-2.9092044176287533,Standard
0093-EXYQL,1,United States,California,Ojai,93023,"34.581308, -118.931948",34.581308,-118.931948,Female,Yes,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.55,3673.6,No,0,59,5742,Attitude of support person,0.5402066598163647,1,Medium,2,New High-Risk,-2.753245060902121,-1.4617969583056252,Standard
4749-VFKVB,1,United States,California,Inverness,94937,"38.099323, -122.945723",38.099323,-122.945723,Female,No,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,50.1,50.1,Yes,1,90,4778,Don't know,0.5401504279185179,1,Medium,2,New High-Risk,-1.3622644294818158,-3.617626231656755,Standard
9518-XXBXE,1,United States,California,Patterson,95363,"37.410236, -121.320337",37.410236,-121.320337,Male,Yes,Yes,No,10,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,75.3,720.45,No,0,41,4254,Attitude of support person,0.5400021596792844,1,Medium,2,New High-Risk,-1.6443656502709865,-2.501296101647109,Standard
4607-CHPCA,1,United States,California,San Martin,95046,"37.084697, -121.606417",37.084697,-121.606417,Male,No,Yes,No,25,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,90.4,2178.6,Yes,1,100,5801,Competitor made better offer,0.539966676219678,1,Medium,2,New High-Risk,-2.038342444017896,-0.1174591390546924,Standard
5077-DXTCG,1,United States,California,Challenge,95925,"39.461768, -121.195825",39.461768,-121.195825,Female,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.3,45.3,Yes,1,86,2293,Network reliability,0.5398241954475372,1,Medium,2,New High-Risk,-1.3933086591818136,-4.597275250603817,Standard
3866-MDTUB,1,United States,California,Los Angeles,90017,"34.052842, -118.264495",34.052842,-118.264495,Female,No,No,No,2,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,70.75,146.9,Yes,1,72,3257,Lack of self-service on Website,0.5396219876359849,1,Medium,2,New High-Risk,-1.6053373242963425,-2.171276646065336,Standard
5914-DVBWJ,1,United States,California,Riverside,92508,"33.885499, -117.324959",33.885499,-117.324959,Female,Yes,No,No,18,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.45,1505.85,Yes,1,99,5145,Competitor offered more data,0.5396095687335601,1,Medium,2,New High-Risk,-2.688298933280335,-1.59470301855747,Standard
1624-WOIWJ,1,United States,California,Nicasio,94946,"38.065359, -122.665566",38.065359,-122.665566,Female,No,No,No,10,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,84.7,832.05,Yes,1,69,5686,Competitor had better devices,0.5390272207766287,1,Medium,2,New High-Risk,-1.3755581860353887,-2.2141128401419823,Standard
2523-EWWZL,1,United States,California,Blythe,92225,"33.674583, -114.71612",33.674583,-114.71612,Female,No,Yes,No,27,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,2093.4,No,0,43,3291,Attitude of support person,0.5390222267977618,1,Medium,2,New High-Risk,-1.924145797624297,-2.0734904004193,Standard
2719-BDAQO,1,United States,California,Sunnyvale,94086,"37.378541, -122.020456",37.378541,-122.020456,Male,No,No,No,17,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,93.85,1625.65,Yes,1,93,4940,Price too high,0.5390043537514948,1,Medium,2,New High-Risk,-1.5596374818136454,-1.3299394906777982,Standard
0224-RLWWD,1,United States,California,Calexico,92231,"32.690654, -115.431225",32.690654,-115.431225,Female,Yes,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.3,89.3,No,0,44,3805,Attitude of support person,0.538917895322525,1,Medium,2,New High-Risk,-1.828771093612271,-4.502780764690408,Standard
6599-RCLCJ,1,United States,California,Crescent City,95531,"41.701223, -124.003393",41.701223,-124.003393,Male,No,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,109.55,5124.55,Yes,1,90,5863,Don't know,0.5387360260506171,1,Medium,0,Established High-Value,-2.7943432415945084,2.7813568382292826,Standard
6166-ILMNY,1,United States,California,Tomales,94971,"38.240769, -122.901041",38.240769,-122.901041,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.75,144.55,Yes,1,68,5667,Competitor offered more data,0.5387115097663647,1,Medium,2,New High-Risk,-1.0601887255700615,-3.430237754162002,Standard
7395-IGJOS,1,United States,California,Quincy,95971,"39.971228, -121.041166",39.971228,-121.041166,Male,Yes,Yes,No,17,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),81.5,1329.2,Yes,1,79,3443,Competitor made better offer,0.5386865734409373,1,Medium,2,New High-Risk,-1.7165544753376136,-1.8319648101613923,Standard
4238-JSSWH,1,United States,California,Porterville,93257,"36.008958, -118.891593",36.008958,-118.891593,Female,Yes,Yes,No,35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),102.05,3452.55,No,0,35,3199,Attitude of support person,0.5385892155111583,1,Medium,0,Established High-Value,-2.4716457661953948,0.936770851497545,Standard
6128-CZOMY,1,United States,California,Alpine,91901,"32.827184, -116.703729",32.827184,-116.703729,Female,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,1,78,4689,Competitor offered higher download speeds,0.5384013271369827,1,Medium,2,New High-Risk,-1.4119827977754464,-4.288659619477582,Standard
9490-DFPMD,1,United States,California,Tahoma,96142,"39.061227, -120.179546",39.061227,-120.179546,Female,Yes,No,No,42,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.65,3541.35,Yes,1,76,4871,Extra data charges,0.5383890558683198,1,Medium,2,New High-Risk,-3.030989132899071,-1.7607029305829318,Standard
7851-FLGGQ,1,United States,California,Wheatland,95692,"39.043387, -121.409837",39.043387,-121.409837,Male,No,No,No,1,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,44.65,44.65,Yes,1,66,3704,Competitor had better devices,0.5383140642867491,1,Medium,3,Mid-Tenure Moderate-Risk,-1.49090284141341,-2.321846335016574,Standard
3853-LYGAM,1,United States,California,Meadow Vista,95722,"39.003358, -121.022539",39.003358,-121.022539,Male,No,No,No,17,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.65,1640.0,No,0,49,3139,Attitude of support person,0.5382924978737582,1,Medium,2,New High-Risk,-2.184789013993804,-0.3328203127711339,Standard
4512-ZUIYL,1,United States,California,Sunnyvale,94089,"37.421633, -122.009613",37.421633,-122.009613,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),70.0,153.05,Yes,1,81,2928,Moved,0.5381510542128947,1,Medium,2,New High-Risk,-1.044562213938245,-3.7788267800172175,Standard
2070-XYMFH,1,United States,California,Long Beach,90815,"33.797638, -118.11662",33.797638,-118.11662,Female,Yes,No,No,23,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.35,1835.3,No,0,50,3558,Attitude of support person,0.5381298522258287,1,Medium,2,New High-Risk,-2.2829485062803707,-2.300750239782426,Standard
1597-LHYNC,1,United States,California,Auburn,95602,"38.99003, -121.114408",38.99003,-121.114408,Female,Yes,No,No,26,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,95.0,2497.2,Yes,1,90,4232,Price too high,0.5375938214184626,1,Medium,2,New High-Risk,-2.877467857703683,-0.7642831154725522,Standard
3165-HDOEW,1,United States,California,Salida,95368,"37.713152, -121.08739",37.713152,-121.08739,Male,No,Yes,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.85,45.85,Yes,1,73,3706,Don't know,0.537483919300226,1,Medium,2,New High-Risk,-0.9060446715121924,-3.530083210218037,Standard
9747-DDZOS,1,United States,California,Eldridge,95431,"38.348884, -122.51699",38.348884,-122.51699,Female,No,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),73.5,73.5,Yes,1,74,4378,Network reliability,0.5371308848814196,1,Medium,2,New High-Risk,-1.056482376672627,-2.7649481614764166,Standard
1730-ZMAME,1,United States,California,Ontario,91762,"34.057256, -117.667677",34.057256,-117.667677,Female,Yes,No,No,32,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.5,2665.0,No,0,24,3041,Attitude of support person,0.5369414798468332,1,Medium,2,New High-Risk,-2.510235815790386,-2.855892450831426,Standard
0082-OQIQY,1,United States,California,Farmington,95230,"37.956963, -120.863055",37.956963,-120.863055,Male,No,No,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,2607.6,No,0,60,4561,Attitude of support person,0.536930434888068,1,Medium,2,New High-Risk,-2.1401524367800384,-1.0236920109398215,Standard
8486-AYEQH,1,United States,California,Guatay,91931,"32.857946, -116.561917",32.857946,-116.561917,Female,No,No,No,31,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.05,2227.8,No,0,63,2421,Attitude of support person,0.5369296336868851,1,Medium,2,New High-Risk,-2.367793470489609,-3.0767955918527257,Standard
5130-IEKQT,1,United States,California,San Francisco,94109,"37.794487, -122.42227",37.794487,-122.42227,Male,Yes,No,No,25,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,105.95,2655.25,Yes,1,100,4283,Price too high,0.5366713782929076,1,Medium,0,Established High-Value,-2.155716862466273,0.3054993777353031,Standard
1580-BMCMR,1,United States,California,Tehachapi,93561,"35.073777, -118.652112",35.073777,-118.652112,Male,Yes,No,No,19,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,87.3,1637.3,No,0,70,4447,Attitude of support person,0.5365618859949438,1,Medium,2,New High-Risk,-2.374084403277871,-2.29119388855447,Standard
1833-TCXKK,1,United States,California,San Bernardino,92408,"34.084909, -117.258107",34.084909,-117.258107,Male,No,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),107.75,4882.8,No,0,27,3301,Attitude of support person,0.5362058535746472,1,Medium,0,Established High-Value,-2.6546319700763688,2.108929910208118,Standard
5385-SUIRI,1,United States,California,Delhi,95315,"37.422961, -120.765493",37.422961,-120.765493,Male,Yes,Yes,No,52,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.2,5568.35,Yes,1,68,5648,Competitor offered higher download speeds,0.5362006271004857,1,Medium,0,Established High-Value,-3.220876037182292,1.9341185981422528,Standard
7011-CVEUC,1,United States,California,Chula Vista,91911,"32.607964, -117.059459",32.607964,-117.059459,Male,No,Yes,No,25,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.7,2338.35,No,0,34,4535,Attitude of support person,0.5355298869363219,1,Medium,2,New High-Risk,-1.9065367328989844,0.2089672370535183,Standard
3966-HRMZA,1,United States,California,Bishop,93514,"37.04584, -118.397236",37.04584,-118.397236,Female,Yes,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,75.05,202.9,No,0,56,3545,Attitude of support person,0.53550538350612,1,Medium,2,New High-Risk,-1.2238783718228112,-3.366185254721501,Standard
8584-KMVXD,1,United States,California,Calistoga,94515,"38.629618, -122.593216",38.629618,-122.593216,Female,No,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,75.6,535.55,No,0,31,2934,Attitude of support person,0.5354064034207656,1,Medium,2,New High-Risk,-1.31303672867707,-3.3862777366596637,Standard
4013-TLDHQ,1,United States,California,Berkeley,94704,"37.871416, -122.246597",37.871416,-122.246597,Male,No,No,No,19,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.25,1490.95,Yes,1,72,3666,Competitor had better devices,0.5348308840653307,1,Medium,2,New High-Risk,-1.8842421040022748,-2.199191163707064,Standard
2187-LZGPL,1,United States,California,Walnut Creek,94596,"37.900662, -122.052782",37.900662,-122.052782,Female,No,No,No,7,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),40.1,293.3,Yes,1,68,4414,Attitude of service provider,0.5347777332169784,1,Medium,3,Mid-Tenure Moderate-Risk,-1.879809794020574,-2.4604294858375884,Standard
2507-QZPQS,1,United States,California,La Mirada,90638,"33.902045, -118.008961",33.902045,-118.008961,Male,No,No,No,15,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,95.7,1451.1,No,0,23,4999,Attitude of support person,0.534480256468498,1,Medium,2,New High-Risk,-1.8995460415130236,-0.7135099980220716,Standard
0869-PAPRP,1,United States,California,Pixley,93256,"35.957019, -119.330928",35.957019,-119.330928,Female,Yes,Yes,No,26,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.7,2067.0,No,0,23,3935,Attitude of support person,0.5344705880072582,1,Medium,2,New High-Risk,-2.2767177145110837,-0.7258543416736747,Standard
2962-XPMCQ,1,United States,California,Sacramento,95828,"38.486938, -121.395805",38.486938,-121.395805,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.15,98.5,Yes,1,81,2699,Competitor offered higher download speeds,0.5339816066289869,1,Medium,2,New High-Risk,-1.398564107846774,-4.524726018840464,Standard
5019-GQVCR,1,United States,California,Westlake Village,91361,"34.130992, -118.894673",34.130992,-118.894673,Male,Yes,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.85,3645.6,No,0,56,4556,Attitude of support person,0.5339258347555583,1,Medium,2,New High-Risk,-3.037111671102642,-1.771670137311154,Standard
3088-LHEFH,1,United States,California,Pollock Pines,95726,"38.733908, -120.453416",38.733908,-120.453416,Female,No,No,No,11,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.0,929.3,No,0,33,3885,Attitude of support person,0.5339160976532537,1,Medium,2,New High-Risk,-1.9506418709969369,-2.1701862545809765,Standard
9927-DSWDF,1,United States,California,Palos Verdes Peninsula,90274,"33.788208, -118.404955",33.788208,-118.404955,Male,No,Yes,No,22,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.6,2180.55,No,0,68,2429,Attitude of support person,0.5337178247689279,1,Medium,0,Established High-Value,-2.014528987680021,0.8132297585005652,Standard
0708-LGSMF,1,United States,California,Milpitas,95035,"37.441931, -121.878502",37.441931,-121.878502,Male,No,Yes,No,13,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,65.85,902.25,No,0,44,2731,Attitude of support person,0.5336935373366166,1,Medium,2,New High-Risk,-1.9604973389931557,-1.3370878897624343,Standard
9851-KIELU,1,United States,California,Loma Mar,94021,"37.266388, -122.26308",37.266388,-122.26308,Male,No,No,No,10,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.1,1043.3,Yes,1,76,5803,Competitor made better offer,0.5336902612628834,1,Medium,0,Established High-Value,-1.988512702408649,0.9561594013053468,Standard
2386-LAHRK,1,United States,California,Weimar,95736,"39.00978, -120.978273",39.00978,-120.978273,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,53.5,53.5,Yes,1,80,5094,Product dissatisfaction,0.533116867617333,1,Medium,2,New High-Risk,-1.0438920625066117,-3.40163024497802,Standard
